"","Estimate","lower","OR","upper","u.Accuracy","r.Accuracy","full.Accuracy","u.AUC","r.AUC","full.AUC","IDI","NRI","z.IDI","z.NRI","Frequency"
"De_tqwt_kurtosisValue_dec_33",0.615307347296594,1.47853966310631,1.85022517388424,2.31534755508879,0.692515337423313,0.772638036809816,0.8179754601227,0.679454218312675,0.768604558176729,0.819619152339064,0.0871329312698105,0.553934426229508,5.11479793216306,4.6215054251761,1
"De_tqwt_TKEO_mean_dec_17",-0.0954119723562381,0.876801798670445,0.908998375117066,0.942377225067751,0.642944785276074,0.694478527607362,0.74478527607362,0.668362654938025,0.721816273490604,0.752993802479008,0.0999014991567369,0.747540983606557,5.09003495787906,6.38378444138035,0.2
"De_tqwt_TKEO_std_dec_11",-0.0899443294528098,0.883400551294069,0.913982065736665,0.945622249459275,0.702085889570552,0.685644171779141,0.73398773006135,0.700583766493403,0.710975609756098,0.744566173530588,0.0945637236965307,0.72327868852459,5.06254493320499,6.17358256488968,0.25
"De_tqwt_minValue_dec_7",0.142131942942264,1.09297393768155,1.15272873292421,1.21575042724962,0.567852760736196,0.702085889570552,0.752147239263804,0.581115553778489,0.716453418632547,0.765765693722511,0.0961963765084206,0.700327868852459,5.04428156328719,5.92433879908177,0.25
"De_tqwt_kurtosisValue_dec_2",-0.042125491219287,0.943244939419838,0.95874945838443,0.974508831733368,0.682617586912065,0.738241308793456,0.769734151329243,0.634679461548714,0.751186192189791,0.786798613887778,0.0908016834796978,0.644808743169399,5.01106885558629,5.5532257707575,0.15
"De_tqwt_TKEO_std_dec_36",0.127138754294087,1.08347485215574,1.13557457269874,1.19017954832474,0.638957055214724,0.705316973415133,0.763905930470348,0.611855257896841,0.716641676662668,0.770355191256831,0.0825290216101966,0.63688524590164,4.98627045410318,5.37695597753097,0.6
"tqwt_meanValue_dec_11",0.000716523090341518,1.00044146035426,1.00071677985433,1.00099217512178,0.613496932515337,0.712474437627812,0.757055214723926,0.652738904438225,0.715620418499267,0.771311475409836,0.0899180756720832,0.613114754098361,4.9713567580454,5.15087530760285,0.15
"De_tqwt_maxValue_dec_28",-0.0518805097906997,0.930534817655228,0.94944230912537,0.968733980990388,0.647852760736196,0.725153374233129,0.761349693251534,0.648160735705718,0.74109356257497,0.773370651739304,0.0912487966591796,0.626229508196722,4.93869552720809,5.26145485789202,0.1
"De_tqwt_TKEO_std_dec_17",-0.093140412376755,0.878459905645643,0.911065566433039,0.944881446501419,0.626175869120654,0.717791411042945,0.735787321063395,0.628282020525123,0.724030387844862,0.738211382113821,0.0937481204965465,0.695081967213115,4.90735622406407,5.87623480835904,0.15
"Ba_locAbsJitter",0.00721614958760158,1.00429962380766,1.00724224873572,1.01019349563402,0.640490797546012,0.592638036809816,0.679141104294479,0.650529788084766,0.646901239504198,0.697401039584166,0.087739788325976,0.473770491803279,4.74512912568661,3.83510476683428,0.1
"De_tqwt_maxValue_dec_29",-0.0253487208230611,0.964817878911133,0.97496986044805,0.985228662900477,0.639263803680982,0.722699386503068,0.759509202453988,0.656997201119552,0.736215513794482,0.766473410635746,0.0816739734644259,0.672131147540984,4.63149809009701,5.63372363606156,0.1
"De_tqwt_entropy_log_dec_1",1.22756303888184,2.04481988274434,3.41290228365001,5.69629731011363,0.607361963190184,0.741349693251534,0.769079754601227,0.631799280287885,0.744950019992003,0.776429428228709,0.0796768231727114,0.641967213114754,4.52960316193762,5.43016278680344,0.25
"De_det_LT_TKEO_mean_3_coef",-0.307708526855147,0.636994680917212,0.735129557308994,0.848383012007526,0.610665408211421,0.712789051439358,0.746672958942898,0.6234429305201,0.720190385384308,0.756528157967582,0.0639010465376892,0.624968474148802,4.10557520280181,5.23308712847603,0.65
"De_tqwt_TKEO_std_dec_7",-0.0525355626642649,0.925337057962977,0.948820577868148,0.97290007056225,0.598159509202454,0.719018404907976,0.742944785276074,0.596746301479408,0.742258096761296,0.761885245901639,0.0649564191399936,0.565573770491803,4.0398040349971,4.66237609623311,0.2
"De_tqwt_entropy_log_dec_35",-0.198300438542827,0.742210194709398,0.82012341943552,0.906215554435973,0.574642126789366,0.694069529652352,0.732924335378323,0.561468745834999,0.715740370518459,0.743855791016927,0.0478849681290575,0.625136612021858,3.69807440777478,5.27040096321386,0.15
