"","Estimate","lower","OR","upper","u.Accuracy","r.Accuracy","full.Accuracy","u.AUC","r.AUC","full.AUC","IDI","NRI","z.IDI","z.NRI","Frequency"
"tqwt_kurtosisValue_dec_18",0.12520394934457,1.08717589630649,1.13337958151958,1.1815468685146,0.654322364751812,0.642387060791969,0.698605688789738,0.676478499509287,0.66850532514267,0.715041256224783,0.116098229807129,0.676005961251863,5.54999823431684,5.71125484582372,0.55
"IMF_SNR_entropy",0.0288828847213648,1.01908969225743,1.02930404018643,1.03962076664443,0.620122699386503,0.654969325153374,0.713619631901841,0.612471011595362,0.691779288284686,0.714766093562575,0.11623059946438,0.67344262295082,5.52547828035331,5.68886784617898,0.25
"std_6th_delta",0.255340394094586,1.18026160827389,1.2909009611581,1.41191179975432,0.633251533742332,0.720858895705521,0.731840490797546,0.665692722910835,0.715796681327469,0.753171731307477,0.116269026039631,0.602295081967213,5.51698200655047,4.98442580078789,1
"tqwt_entropy_log_dec_11",-0.226747934071661,0.739583272015601,0.797121684186138,0.859136494080063,0.695899257345819,0.65205037132709,0.720632870519858,0.692871272543614,0.681817799196111,0.742718701992887,0.107861521100359,0.723554788610871,5.51353298731994,6.17799783545373,0.95
"std_5th_delta",0.166882094798488,1.12327401115514,1.18161493854741,1.24298599374037,0.62280163599182,0.67760736196319,0.713292433537832,0.65693056110889,0.680452818872451,0.733035119285619,0.115465115545779,0.521584699453552,5.47469071939135,4.30133175135485,0.6
"tqwt_maxValue_dec_11",-0.068715883614429,0.911248822132108,0.933591891154725,0.956482793789002,0.691717791411043,0.694049079754601,0.743865030674846,0.704912035185926,0.714728108756497,0.770272890843663,0.102625263173268,0.536229508196721,5.4500080198471,4.41578105062644,1
"std_8th_delta_delta",0.240517157776233,1.17528477880761,1.2719067567335,1.37647217678223,0.689570552147239,0.699999999999999,0.723803680981595,0.712060175929628,0.69983806477409,0.744807077169132,0.115958184298293,0.675901639344262,5.43956510879927,5.71539664572913,1
"tqwt_TKEO_std_dec_11",-0.0165468372476924,0.978041899206379,0.983589309695666,0.98916818485243,0.67239263803681,0.682774893817838,0.719867862199151,0.678256389751792,0.67983575800449,0.733265155476271,0.107543032599283,0.544010088272383,5.4152745104639,4.47400354782621,0.65
"std_11th_delta_delta",0.227122752779349,1.16516016051634,1.25498391124861,1.35173229472153,0.688220858895706,0.657484662576687,0.736257668711656,0.707676929228309,0.677670931627349,0.7509406237505,0.111004260168011,0.624918032786885,5.41463318590592,5.23096032235862,1
"std_9th_delta_delta",0.210055503373877,1.14561062314682,1.23374653515163,1.32866305727647,0.691165644171779,0.709141104294479,0.734049079754601,0.719927029188325,0.716227508996402,0.747117153138745,0.1100774485611,0.659344262295082,5.32696592027811,5.56654197813374,1
