"","Estimate","lower","OR","upper","u.Accuracy","r.Accuracy","full.Accuracy","u.AUC","r.AUC","full.AUC","IDI","NRI","z.IDI","z.NRI","Frequency"
"De_tqwt_TKEO_mean_dec_17",-0.0945290762958291,0.878881580960991,0.909801280590259,0.941808757965556,0.644478527607362,0.682515337423313,0.740490797546012,0.67141143542583,0.723540583766493,0.751744302279088,0.103746007535424,0.774590163934426,5.27328139719206,6.66526022592926,0.2
"tqwt_kurtosisValue_dec_27",-0.0120667507318895,0.983546930453021,0.988005760553145,0.992484804397266,0.689979550102249,0.674437627811861,0.749284253578732,0.660109289617486,0.685352525656404,0.757483673197388,0.098539239104346,0.622950819672131,5.15744054785888,5.19128147203446,0.15
"Ba_tqwt_kurtosisValue_dec_17",0.275726686635517,1.18945072224983,1.31748772781097,1.45930712425759,0.630879345603272,0.728220858895706,0.774437627811861,0.671638011462082,0.739094362255098,0.787781554045049,0.0951572507031748,0.638251366120219,5.15589649266363,5.39140651918358,0.3
"mean_MFCC_2nd_coef",0.0343788946668017,1.02145685159159,1.03497667959043,1.04867545371786,0.662985685071575,0.702249488752556,0.74601226993865,0.641536718645875,0.712568306010929,0.761775289884046,0.0928874581015964,0.622950819672131,5.0143813174056,5.21618328645008,0.15
"De_tqwt_TKEO_std_dec_36",0.19379783103487,1.12423154337456,1.21385085517692,1.31061426562626,0.639647239263803,0.715184049079754,0.756518404907975,0.609077618952419,0.724211565373851,0.763969412235106,0.0821690428180569,0.598360655737705,4.83781668344332,4.98310072142353,0.8
"De_tqwt_TKEO_std_dec_11",-0.113777784616562,0.851373184457399,0.892456251357537,0.935521784251124,0.656887897378695,0.692470719464585,0.74478527607362,0.660968339936752,0.707704191050852,0.756931772745447,0.0826750850727955,0.707600596125186,4.62500423330447,5.97758516926098,0.55
"De_tqwt_TKEO_mean_dec_33",-0.286943891081936,0.666320723873393,0.750553840419574,0.845435309431573,0.654737559645535,0.70974778459441,0.765167007498296,0.663735616864365,0.733051223954863,0.772232218223822,0.0751737485873393,0.561748633879782,4.61179426360605,4.67789300202872,0.9
"De_tqwt_TKEO_std_dec_7",-0.135765638938146,0.824413527806799,0.873047216787261,0.924549897631722,0.595617879053462,0.72532865907099,0.770201577563541,0.593833895013423,0.752661792425887,0.79189181470269,0.0781320411135673,0.638407494145199,4.58309476639394,5.32262745233674,0.35
"De_tqwt_TKEO_std_dec_17",-0.0936899549386618,0.87585091491181,0.910565034671946,0.946655039403149,0.630674846625767,0.649079754601227,0.706339468302658,0.628048780487805,0.689464214314274,0.71853925096628,0.0838211170225232,0.646994535519126,4.56692531293543,5.43496528994132,0.15
"tqwt_meanValue_dec_11",0.000788086234737861,1.00045234723074,1.00078839685629,1.00112455936013,0.613496932515337,0.706441717791411,0.73558282208589,0.652738904438225,0.70187425029988,0.74765593762495,0.0773073408680559,0.634426229508197,4.46225977474521,5.33781069409409,0.2
"De_std_MFCC_6th_coef",0.0659372821772513,1.03808354669311,1.068159722413,1.09910728883049,0.576073619631902,0.720858895705521,0.749079754601227,0.603448620551779,0.743082766893243,0.768412634946022,0.0790037255232412,0.624590163934426,4.30055071055892,5.29460060669965,0.1
"De_det_LT_TKEO_mean_3_coef",-0.158115468277317,0.794240875685231,0.853751195097008,0.917720461693336,0.603680981595092,0.694233128834356,0.734233128834356,0.619300279888045,0.71250299880048,0.752826869252299,0.068718451381246,0.533770491803279,4.16948649589266,4.42043358669422,0.25
"De_tqwt_minValue_dec_7",0.168186780464313,1.09474233375072,1.18315758073301,1.27871355449449,0.565439672801636,0.719018404907976,0.75439672801636,0.582040517126483,0.738884446221512,0.767646274823404,0.068335374019666,0.652459016393443,4.1052191776229,5.51542296870074,0.3
"De_tqwt_entropy_log_dec_35",-0.375443344070592,0.570436263599204,0.686984640699175,0.827345536517593,0.566625766871166,0.757546012269939,0.779631901840491,0.556329468212715,0.770019992003199,0.792546981207517,0.0517795980919994,0.695737704918033,3.8620911372145,6.06691067807266,0.25
