"","PC1","PC2","PC3","PC4"
"Sepal.Length",0.361386591785369,-0.656588771286842,0.582029851306065,0.315487192903975
"Sepal.Width",-0.0845225140645687,-0.730161434785027,-0.597910830100086,-0.319723103666128
"Petal.Length",0.856670605949835,0.173372662795857,-0.0762360758209638,-0.479838986994634
"Petal.Width",0.358289197151551,0.0754810199174639,-0.545831432020075,0.753657425264046
